Major,Early Career Pay,Mid-Career Pay,% High Meaning
Strategic Communication,44600.0,77500.0,42%
Public Relations (PR),43000.0,77400.0,43%
Natural Sciences,41700.0,77300.0,51%
International Affairs,49100.0,77200.0,53%
Drama,43900.0,77200.0,46%
Network Administration,46900.0,77200.0,55%
Media Studies,48300.0,77100.0,36%
Organizational Development,51600.0,77000.0,52%
Writing,41800.0,77000.0,43%
Integrated Marketing Communications,44600.0,76900.0,34%
Crisis & Emergency Management,46600.0,76800.0,77%
Organizational Communication,44000.0,76800.0,49%
Retailing,48900.0,76800.0,27%
Speech Communication,43900.0,76800.0,55%
Allied Health,41800.0,76700.0,79%
Environmental Biology,43000.0,76700.0,66%
Nuclear Medicine Technology,58900.0,76700.0,81%
Apparel & Textile Manufacture,45700.0,76600.0,36%
Technology Management,53900.0,76500.0,45%
Film Production,42700.0,76400.0,32%
Security Management,44800.0,76400.0,-
Acting,42200.0,76200.0,48%
Broadcast & Cinematic Arts,41900.0,76200.0,41%
Business Management & Administration,48600.0,76200.0,53%
Marine Biology,40800.0,76200.0,61%
Professional Studies,42100.0,76200.0,64%
Romance Languages,50300.0,76200.0,54%
Computer Animation,44500.0,76100.0,31%
Cytotechnology,58100.0,76000.0,90%
Broadcast Journalism,41100.0,76000.0,49%
Geography,46900.0,76000.0,52%
Journalism & Electronic Media,42100.0,75900.0,50%
Automotive Technology,45800.0,75800.0,46%
Interpersonal Communications,43100.0,75800.0,48%
Law & Society,44400.0,75700.0,50%
Agricultural Business,50300.0,75600.0,50%
Ancient History,43900.0,75600.0,-
Computer Aided Design (CAD),46500.0,75500.0,-
Computer Art,41200.0,75500.0,30%
Administration,43100.0,75400.0,56%
Forestry,44700.0,75400.0,66%
Urban Studies,48600.0,75300.0,56%
Business Law,51100.0,75100.0,44%
Radio/Television & Film Production,42800.0,75000.0,39%
Digital Design,48200.0,74800.0,38%
Forensic Science,43800.0,74800.0,62%
Geosciences,46600.0,74800.0,63%
Logistics Management,52800.0,74800.0,47%
Ecology,43500.0,74700.0,53%
English & History,43600.0,74700.0,48%
English Language & Literature,43900.0,74700.0,44%
American Sign Language Interpreting,42500.0,74600.0,85%
